CHEM21 Solvents,ING,INH,XVP,SDP,Health_Score
Water,-4.986771734,-0.204119983,0.0944,6440,1
MeOH,-3.750354122,-2.418450477,0.283333333,4558.135748,7
EtOH,-3.750354122,-3.275138637,0.518292683,5433.325975,3
i-PrOH,-3.702861292,-2.691629622,0.85,6032.81558,3
n-BuOH,-2.897627017,-1.78268757,1,846.5201665,4
t-BuOH(^c),-3.438226219,-2.481657575,0.708333333,6444.930756,3
Benzyl Alcohol,-3.089905181,-1.946894193,1.307692308,376.5056873,2
Ethylene Glycol,-3.672097771,,0.53125,843.8060235,2
Acetone,-3.763427472,-3.027361697,0.653846154,4264.265223,3
MEK,-3.437274247,-2.770748827,0.944444444,1387.608355,3
MIBK,-3.318063543,-1.913442966,1.214285714,260.8644976,2
Cyclohexanone,-3.20951498,-1.90460735,1.416666667,179.5625822,2
Methyl Acetate ,-3.811710075,-2.782451048,0.548387097,1239.385002,3
Ethyl Acetate ,-3.749736177,-3.158805768,0.85,635.4890566,3
i-PrOAc,-3.829304207,-2.620874947,1,256.7063358,2
n-BuOAc,-4.032134843,-2.375755043,1,159.4648272,2
Diethyl ether,-3.084576419,-3.083717697,1,820.2261429,3
Diisopropyl ether,-3.927882507,-3.018983245,1.214285714,154.7160023,3
MTBE,-3.602059991,-2.255923436,1.0625,540.8477866,3
THF,-3.217483662,-2.168674234,0.944444444,,7
Me-THF,-3.06069784,,1.42,2723.297629,5
"1,4-Dioxane ",-3.623249725,-1.857754519,0.85,1601.290248,6
Anisole,-3.568202158,,5,52.79380252,1
DME,-3.729973678,,1.06,2081.518632,10
Pentane,-2.602059991,-3.469957906,1.21,11.68027253,3
Hexane ,-4.45803281,-2.246104469,1.7,3.52982113,7
Heptane ,-3.698970004,-3.214648095,1.55,1.666116437,2
Cyclohexane,-4.103974502,-2.536823516,1.42,14.35798875,3
Me-cyclohexane,-3.505149978,-3.205848087,1.55,3.413924664,2
Benzene,-2.968482875,-0.204119983,1.214285714,117.5550385,10
Toluene ,-2.803457128,-1.877198531,1.338582677,54.90049082,6
Xylenes,-3.367914396,-2.637679851,1.545454545,22.58676841,2
DCM,-3.301029996,,0.283,229.8936309,7
Chloroform,-2.841984781,-1.688597784,0,185.6093128,7
Carban Tertachloride,-3.371067775,-1.497620655,,32.4902167,7
DCE,-2.826074894,-1.607133213,0.274193548,136.3433658,10
Chlorobenzene,-3.045322931,-1.663040975,1.307692308,40.97055578,2
Acetonitrile,-3.390935177,-1.526080688,0.386363636,4868.605139,3
DMF,-3.447157858,-1.47552592,0.772727273,1028.717285,9
DMAc,-3.633468716,-1.551815827,0.944444444,1038.369055,9
NMP,-3.592620994,,1.31,1370.238268,9
DMPU,-3.247973075,,1.06,,6
DMSO,-4.161368111,,0.653846154,587.9919245,1
Sulfolane,-3.187520486,,,54.76952638,9
HMPA,-3.423246439,,,,9
Nitromethane,-2.973127767,-1.698361572,0.232876712,6.214977934,2
Methoxy-ethanol,-2.949389816,,0.68,1324.471166,9
Carbon disulfide,-3.07918142,-0.49276039,1.7,115.7062686,7
Formic acid,-3.041392642,-0.973589622,0.094444444,3962.556133,7
Acetic acid,-3.519827711,-1.390228366,0.425,4458.169126,7
Ac2O,-3.250419811,-0.619093331,0.586206897,,7
Pyridine,-2.94987788,-0.510545011,0.944444444,868.9870756,2
TEA,-2.66275784,-0.315970346,1.416666667,1117.687724,7
